,0,1
0,0,1.0
1,1,0.8329032553663877
2,2,0.3597130671604863
3,3,0.2111132554562333
4,4,0.14381403710611773
5,5,0.10809170216339886
6,6,0.08756776027385267
7,7,0.07395014380499493
8,8,0.06248867297084418
9,9,0.051242227827966134
10,10,0.04035856488987257
11,11,0.030940482528842482
12,12,0.023826996051864505
13,13,0.01887805124128113
14,14,0.015254008514798694
15,15,0.01222287111288674
16,16,0.009523629907235489
17,17,0.007213330882169375
18,18,0.005417427290822392
19,19,0.0041642597747191335
20,20,0.003330834798589957
21,21,0.0027221168332035566
22,22,0.0021996257154264904
23,23,0.001722549115948161
24,24,0.0013091019752816495
25,25,0.0009873269376010022
26,26,0.0007632063675364488
27,27,0.0006126081010787931
28,28,0.0004998366364268881
29,29,0.0004016558018631312
30,30,0.0003125630428631073
31,31,0.00023662913972490024
32,32,0.00017865045439511505
33,33,0.00013880833203567625
34,34,0.00011190246819004129
35,35,9.130294900446002e-05
36,36,7.31146021895152e-05
37,37,5.665769945561529e-05
38,38,4.2806356828257985e-05
39,39,3.2393061393977575e-05
40,40,2.5304894719072814e-05
41,41,2.047221550228275e-05
42,42,1.668602599079949e-05
43,43,1.3306166634494466e-05
44,44,1.0265549886597615e-05
